record_id,split,country,conference_date,target,label,text,detected_language
seg_00017,train,CH,2021-01-13,citizens,explaining/sharing responsibility,"nous voyons dans les données sur la mobilité et les comparaisons avec le début de l'année qu'il existe encore un potentiel et ces données sur la mobilité, évidemment, tiennent compte de différents éléments, mais aussi du télétravail et on a clairement le sentiment qu'il reste encore un certain potentiel.",fr
seg_00018,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,zweiter Punkt. Die Kantone sind zuständig für die Schulen noch einmal,de
seg_00019,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,"Dans le domaine de la santé, j'aimerais rappeler ici que les cantons ont la responsabilité de garantir l'approvisionnement. On demande beaucoup de choses à la Confédération, mais faut pas oublier Monsieur Stocker le disait tout à l'heure, nous fonctionnons dans des structures fédéralistes et l'approvisionnement en matière de soins est une affaire qui relève de l'activité des cantons. Ils font tout ce qu'ils peuvent pour ça et des hôpitaux.",fr
seg_00020,train,CH,2021-01-13,,credit claiming,"Et il nous semble que la situation actuelle de ce point de vue-là, elle permet de fonctionner aujourd'hui avec les mesures que nous prenons, il s'agit justement d'éviter d'avoir plus de personnel infecté, plus d'absence, plus de problèmes dans ce domaine-là. Et nous sommes convaincus que, avec les mesures qui devraient permettre de garder une situation sous contrôle",fr
seg_00021,test,CH,2021-01-13,,credit claiming,"Mais avec cela, il me semble que tout ça fait une immense différence d'ailleurs avec la situation d'il y a 6 ou 8 mois. Nous avons tout sur la table pour avoir une situation aussi sur le plan des institutions qui fonctionne bien.",fr
seg_00022,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,Nous avons tout sur la table pour avoir une situation aussi sur le plan des institutions qui fonctionne bien.,fr
seg_00023,test,CH,2021-01-13,citizens,blaming,"Ich glaube, der Fall Wengen zeigt auch, was passieren kann, wenn es man kann das auch nicht vergleichen, in andere Fälle, aber trotzdem es ist passiert und es hat auch negativen Auswirkungen oder die dauernde Sache, die wir lieber nicht gesehen hätten wollen sehen, ja",de
seg_00024,train,CH,2021-01-13,,credit claiming,"weil wir versuchen nach wie vor pragmatisch einen Weg zu finden mit dieser Entwicklung. Aber wir haben über die Schliessung von Hotels zum Beispiel nicht gesprochen, oder wir haben von Schliessung von anderen Einrichtungen nicht gesprochen,",de
seg_00025,train,CH,2021-01-13,,credit claiming,"Wir machen sehr viel Sequenzierung, das hat uns erlaubt, das zu folgen in der Schweiz, wie es geht, und das erlaubt uns zu sagen, wir haben jetzt die Situation, die UK Anfang Dezember hatte und da wir früher sind, wir hoffen auch, dass es erlaubt, weniger strengere Massnahmen zu nehmen und da einen Weg damit zu finden, aber würden wir das ständig beobachten wie immer und allenfalls reagieren müssen.",de
seg_00026,train,CH,2021-01-13,,credit claiming,"Die Frage noch einmal mehr ist nicht ob, die Frage ist wann und je früher, desto besser auch für die Gesellschaft, für die Kosten, für die Wirtschaft und für die Gesundheit, das ist genau der Punkt,",de
seg_00027,train,CH,2021-01-13,,credit claiming,"wir haben einen Wissensvorsprung, es ist einfach, dass durch diese Sequenzierungen, wir wissen, wir können das vergleichen mit einer Situation, wo wir sind, wir haben 6 Wochen, 7 Wochen Differenz mit UK, das hatten wir bis jetzt nie in der Vergangenheit mit dieser Pandemie",de
seg_00028,train,CH,2021-01-27,,credit claiming,"vous l'avez constaté ce matin, on semble voir un effet aussi des mesures qui ont été prises encore le 13 janvier en tout cas on commence, on devrait commencer à les voir dans les chiffres. Comme vous le voyez, les nouveaux cas évoluent avec toujours une diminution, elle est moins forte que dans les semaines passées, mais ça continue de diminuer. C'est également le cas pour les hospitalisations et le nombre de décès, mais ça diminue plus lentement qu'auparavant. Nous avons maintenant ce matin une incidence sur 14 jours de 305 cas pour 100’000 habitants et on est donc repassé hier pour la première fois depuis octobre sous la barre des 2000 cas en semaine. Pendant le weekend, c'est un petit peu différent, mais en semaine, c’était le cas aujourd'hui, 2222 cas, je crois qu'on peut dire que c'est quelque chose de de réjouissant.",fr
seg_00029,train,CH,2021-01-27,,credit claiming,grâce aux multiples séquençages qui sont réalisés dans notre pays,fr
seg_00030,test,CH,2021-01-27,citizens,shifting responsibility,"la Confédération a autorisé les tests de personnes asymptomatiques et nous devons constater sur les 5-6 dernières semaines, 6 dernières semaines même, que ça a été trop peu utilisé et la Confédération a décidé enfin, le Conseil fédéral a décidé ce matin que la Confédération prendrait désormais en charge le coût de ces tests. Il s'agit d'une incitation en fait, pour dire utilisez plus ces tests dans les EMS, dans les écoles, dans les hôtels, dans les entreprises, partout où cela peut aider, utilisez les plus. Et puis s’il faut que la Confédération prenne cela en charge pour créer une incitation, Eh bien nous avons pris cette décision ce matin. Aujourd'hui, ça a été trop peu utilisé durant les 5-6-7 dernières semaines et nous souhaitons que cela change",fr
seg_00031,test,CH,2021-01-27,,credit claiming,le Conseil fédéral a décidé ce matin que la Confédération prendrait désormais en charge le coût de ces tests.,fr
seg_00032,train,CH,2021-01-27,subnational level,shifting responsibility,"Les cantons pour pouvoir faire appel à cette possibilité, doivent évidemment présenter un concept à l’OFSP pour montrer où, quand et comment ils prévoient de faire ces tests.",fr
seg_00033,test,CH,2021-01-27,citizens,shifting responsibility,"il y a évidemment alors au-delà du 7e, au 10e jour, l'obligation de porter le masque vraiment au-delà des obligations habituelles, ça veut dire dès qu'on est hors de chez soi jusqu'à la fin de la quarantaine officielle de 10 jours et de respecter évidemment scrupuleusement les règles d'hygiène et de distance.",fr
seg_00034,train,CH,2021-01-27,subnational level,explaining/sharing responsibility,une demande des cantons et donc suite à l'inscription de cette possibilité dans la loi COVID en décembre dernier,fr
seg_00035,train,CH,2021-01-27,,credit claiming,"Dernier élément pour les pharmacies, nous avons décidé ce matin de prendre en charge les coûts de vaccination par les pharmacies.",fr
seg_00036,train,CH,2021-01-27,,credit claiming,"Der Bund wird ab morgen auch die Kosten von Test an Personen keine Symptome haben, übernehmen die Möglichkeit für Asymptomatischen sich testen zu lassen ist vorhanden seit Dezember, da wir seit Dezember genug Test haben, es ist aber viel zu wenig benutzt worden, genutzt worden, wir wollen einen Anreiz schaffen und wir machen das mit dieser Übernahme der Kosten.",de
seg_00037,train,CH,2021-01-27,subnational level,explaining/sharing responsibility,"Wir haben auch diesen neuen Virusvarianten, die verdoppelt sich nach wie vor jede Woche, wir verfolgen das sehr, sehr genau und wir machen das auch sehr in Kontakt mit der Kantone",de
seg_00038,train,CH,2021-01-27,,credit claiming,"ich glaube mit der Entscheide des Bundesrats heute haben wir auch wieder mal einen guten Schritt gemacht, um eine bessere Begleitung dieser Pandemie zu haben und um besser noch die Situation im Griff zu haben für die nächsten Zeit, die sehr wichtig sind wegen der Entwicklung der Varianten und auch, weil wir die Impfkampagne haben, die läuft gerade jetzt, und die muss auch weiter so laufen. Danke",de
seg_00039,train,CH,2021-01-27,citizens,explaining/sharing responsibility,ou une volonté de le faire puisque la personne concernée doit payer le test elle-même.,fr
seg_00040,train,CH,2021-01-27,citizens,blaming,"um wirklich diesen Anreiz zu schaffen, weil die Möglichkeit, die besteht seit Wochen ist, aber wirklich nicht benutzt worden",de
seg_00041,train,CH,2021-01-27,subnational level,shifting responsibility,"Ja, die Altersheime, das ist wirklich Sache der Kantone. Wir wiederholen das seit sehr lange und es muss auch so bleiben und die Spitäler, die sind auch Sache der Kantone, ich meine, das muss auch so bleiben.",de
seg_00042,test,CH,2021-01-27,citizens,blaming,"Wir haben einfach wirklich auch gehofft, dass die einfach mit der Lockerung der Möglichkeiten ab Dezember ab dem Moment, wo es genug Test gab, das ist wirklich sehr stark benutzt wird und wir müssen feststellen, das ist nicht der Fall",de
seg_00043,train,CH,2021-01-27,subnational level,shifting responsibility,"die Übernahme durch den Bund und deswegen die Kantone, die müssen auch ein Konzept präsentieren. Ich meine das, es ist nicht, um etwas ineffizient zu fördern, es ist im Gegenteil um etwas sehr effizient zu fördern, das heisst vor allem, dass es benutzt wird, wo es wirklich etwas bringt, um noch einmal besonders gefährdeten Personen zu schützen, besser zu schützen oder um Ausbrüche im Kontroll, im Griff zu nehmen.",de
seg_00044,train,CH,2021-01-27,subnational level,shifting responsibility,"deswegen ist es notwendig, dass die Kantone ein Konzept auch präsentieren für die Übernahme der Kosten, und das wird auch Fall pro Fall werden wir das diskutieren können, um zu sehen wo es wirklich Sinn macht.",de
seg_00045,train,CH,2021-01-27,citizens,shifting responsibility,"dass zum Beispiel den Test um sich vorhanden Quarantäne zu befreien, nach 7 Tage, das wird auch nicht übernommen, das ist auch zulasten der Person, die, die diesen Weg sucht.",de
seg_00046,train,CH,2021-01-27,citizens,shifting responsibility,Et il ne s’agit encore une fois pas ici de prendre en charge la totalité de tous les tests qui pourraient être souhaitables sur le plan privé.,fr
seg_00047,train,CH,2021-01-27,citizens,shifting responsibility,Ça dépendra vraiment de la réalisation de ces tests,fr
seg_00048,train,CH,2021-01-27,citizens,shifting responsibility,"Es ist aber vorgesehen, dass die Person, die reist, sich melden muss.",de
seg_00049,train,CH,2021-01-27,citizens,shifting responsibility,aber die Person muss das wirklich erfüllen.,de
seg_00050,train,CH,2021-01-27,,credit claiming,"Ich glaube, dazu kann man schon sagen, dass die Situation hat sich positiv entwickelt in den letzten Wochen und Monaten und wir haben jetzt eine Anzahl von neuen Fällen, die wirklich so tief ist wie nicht mehr, seit ich glaube Oktober oder so. Das ist per se sehr positiv und wir sind sehr froh, mit dieser Entwicklung.",de
seg_00051,train,CH,2021-01-27,,credit claiming,"dank der Sequenzierungen, die wir in der Schweiz machen",de
seg_00052,train,CH,2021-01-27,,credit claiming,"Aber noch einmal nein, wir haben heute eine Situation, die uns auch erlaubt, Verhaltensoptimistisch zu sein, auch wenn man in andere Länder anschaut.",de
seg_00053,train,CH,2021-01-27,,credit claiming,"Ein Wort vielleicht dazu, ganz am Anfang, als wir da sehr oder zu wenig testen hatten, hatten wir schon damals 50‘000 Schnelltests pro Tag. Also wir sind sehr viel, viel, viel höher jetzt.",de
seg_00054,train,CH,2021-01-27,subnational level,shifting responsibility,"Ich gehe davon aus, dass das hier da auch eine Frage für die Kantone sein und vor allem für die Kantonsärzte, die das vorbereiten müssen und die das auch mal in einen realistischeren Weg mal finden müssen, damit es geht. Aber ich glaube, meiner Meinung nach gibt es keine Untergrenze",de
seg_00055,train,CH,2021-01-27,subnational level,shifting responsibility,"Je ne veux pas faire d'analyse pour savoir pour quelle raison ça a été trop peu réalisé durant les 6 dernières semaines, c'est tout simplement un fait, on l'a trop peu utilisé et c'était je crois, à juste titre demandé aussi sur le plan fédéral, qu'on en fasse beaucoup plus pour tester. Et les gens, le personnel et les visiteurs, là où il y a des personnes qui ont des risques particuliers, qui vivent notamment par exemple dans les homes pour personnes âgées. Et maintenant avec cette situation, nous donnons la même possibilité à tous les cantons de définir un concept et d'agir pour avoir un meilleur suivi dans ce type de situation.",fr
seg_00056,train,CH,2021-01-27,subnational level,shifting responsibility,"Ja, wir verfolgen diese Situation mit der EDK und die Kantone sehr genau. Die Kantone haben immer auch klar gesagt, dass die Schulen und wie es geht, das ist eine Sache der Kantone, wir sehen das auch genau gleich auf Bundesebene, das ist der erste Punkt. Zweiter Punkt mit dieser Möglichkeit jetzt viel breiter zu testen zuerst einmal und auch mit der Entwicklung, mit dem Varianten, wo die Quarantäne auch sehr konsequent durchgeführt wird durch die Kantone, aber wir eine Situation, die, ja, klar, vielleicht unangenehm sein kann für gewisse Einrichtungen, für gewisse Schulen, aber das führt noch nicht unbedingt einfach automatisch dazu, dass man alle Schulen mal mal schliessen sollte. Muss man schon sehen, was es hat, auch für Auswirkungen. Und der Bundesrat hat das auch, ich glaube letzte Woche das letzte Mal das auch haben diskutiert nach einer Retour oder ein Brief der Kanton und wir sind zum Schluss gekommen, dass die Situation, haben wir im Griff, und die Kantone, die wissen, wie es geht, so zu tun, sehr angepasst an die eigene Situation?",de
seg_00057,train,CH,2021-01-27,,credit claiming,Et donc nous avons évidemment une stratégie pour la Suisse qui est adaptée à la réalité géographique et sociale du pays.,fr
seg_00058,train,CH,2021-01-27,citizens,explaining/sharing responsibility,"Wir verlangen keinen negativen Test von Leuten, die von Gebieten kommen, die nicht aus die Risikogebiete sind, ausser für die Leute die mit einem Flugzeug kommen.",de
seg_00059,train,CH,2021-01-27,subnational level,explaining/sharing responsibility,"Pour le reste c'est une demande des cantons cela et c'est pour faciliter en fait là où c'est nécessaire pour eux, la mise en œuvre de ces règles. En réalité, c'est une possibilité qu'ils avaient déjà obtenu dans le cadre du droit d'urgence, de la situation extraordinaire au printemps et les cantons à l'automne ont demandé que cette possibilité existe à nouveau. Elle a été pour cela réintroduite dans la loi COVID durant la session de décembre. Et donc nous pouvons aujourd'hui, à la demande des cantons, avec le soutien du Parlement dans le cadre de la loi COVID, réintroduire cette possibilité pour les autorités de poursuite.",fr
seg_00060,train,CH,2021-02-17,,credit claiming,je crois qu'on peut le voir les efforts qui ont été réalisés durant les dernières semaines et les derniers mois payent.,fr
seg_00061,train,CH,2021-02-17,citizens,praising,"J'ai déjà eu, nous avons déjà eu avec le Conseil fédéral l'occasion de le dire, la population dans son ensemble a été très respectueuse, très disciplinée pendant les phases un peu délicates des fêtes de fin d'année.",fr
seg_00062,train,CH,2021-02-17,,credit claiming,"Ça nous a permis de commencer l'année avec une situation qui n'était pas si mauvaise et l'évolution actuellement, elle est bonne. Nous avons eu en un mois maintenant une division par 2 du nombre de nouvelles infections. Nous avons également une détente sur le front des hospitalisations, des personnes, du nombre de personnes aux soins intensifs et en parallèle, Eh bien la vaccination des personnes vulnérables avance",fr
seg_00063,train,CH,2021-02-17,,credit claiming,"Dans l'ensemble, nous avons pris des mesures, elles sont connues, elles ont été dans l'essentiel ou pour l'essentiel moins contraignantes qu'à l'étranger. Malgré ça, nous avons une situation qui évolue de manière positive encore une fois parce que les consignes ont été bien respectées, sont bien respectées.",fr
seg_00064,test,CH,2021-02-17,citizens,praising,"parce que les consignes ont été bien respectées, sont bien respectées.",fr
seg_00065,train,CH,2021-02-17,citizens,shifting responsibility,"Il faut être clair à ce sujet en disant, nous souhaitons pouvoir réouvrir, mais pour que ça fonctionne, il faut évidemment que l'ensemble de la population continue à être attentive, à se protéger, à respecter les règles et les gestes qui nous protègent des infections. La situation reste fragile.",fr
seg_00066,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Nous avons donc envisagé, nous proposons maintenant dans une consultation qui doit être transmise encore aux cantons, de lever certaines mesures dès le 1er mars. Il y aura une décision définitive mercredi prochain. Je rappelle ici que cette consultation est une obligation fixée dans la loi sur les épidémies, donc c'est une évidence qu’il y a toujours une consultation avant de prendre des mesures.",fr
seg_00067,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Donc nous passons à un rythme tendanciellement de 4 semaines pour pouvoir voir quel est l'effet des mesures prises, quelle est la situation avant d'envisager le prochain pas en sachant qu'il faudra toujours également pour cela consulter les cantons",fr
seg_00068,test,CH,2021-02-17,,credit claiming,"Ça fait d'ailleurs une assez grosse différence avec le printemps 2020 dans lequel nous étions dans la situation extraordinaire et où théoriquement il n’y avait pas besoin de consulter les cantons, même si on l’a toujours fait.",fr
seg_00069,train,CH,2021-02-17,,credit claiming,"donc ça montre bien que nous sommes très attentifs à ce qui se passe dans le cadre intérieur, à l'intérieur des bâtiments, parce que nous savons que c'est là que les risques sont les plus importants et nous souhaitons avoir la stabilité pour permettre de le faire dans un 2e temps de manière à ne pas créer non plus trop d'incertitudes pour celles et ceux qui sont concernés.",fr
seg_00070,train,CH,2021-02-17,,credit claiming,"Es gibt schon diese Entwicklung, die der Bundesrat heute mal angeschaut hat, wir haben eine Positive, eine Auslandslage, die sich verbessert hat in der letzten Wochen, das Dank einer sehr gute Entwicklung auch mit einer sehr gute Umsetzung der Bevölkerung von der Massnahmen, die uns schützen und das erlaubt jetzt langsam Richtung Lockerungen zu gehen, um mit einem Plan um aus dieser Situation zu kommen, mit Etappen",de
seg_00071,train,CH,2021-02-17,citizens,praising,"Dank einer sehr gute Entwicklung auch mit einer sehr gute Umsetzung der Bevölkerung von der Massnahmen, die uns schützen",de
seg_00072,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Eine erste Etappe, die in die Konsultation bei den Kantonen heute geht, für eine erste Lockerung am 1. März",de
seg_00073,train,CH,2021-02-17,,credit claiming,"On a aussi retenu la leçon de l'année dernière, il y a eu beaucoup d'insistance pour réouvrir plutôt les restaurants, on l'a fait au début du mois de mai et moi je me souviens très très bien avoir eu énormément de retours de gens qui disaient: Écoutez comme ça on peut pas travailler. Vous nous demandez de travailler dans des conditions où on peut pas travailler et si aujourd'hui on disait aux restaurants, bon Ben utilisez votre terrasse et essayez de vous en sortir économiquement avec ça, c'est naturellement difficile.",fr
seg_00074,test,CH,2021-02-17,subnational level,shifting responsibility,"On a notamment dans les stations de ski cette problématique qui se pose, c'est contraire à l'ordonnance aujourd'hui c'est contraire au droit et donc nous allons rappeler encore une fois aux cantons que ça n'est pas aujourd'hui possible.",fr
seg_00075,train,CH,2021-02-17,,credit claiming,"On est le seul pays, je crois assez loin à la ronde qui a à la fois ouvert ses stations de ski, qui a laissé des hôtels ouverts et puis dans lequel on peut aussi en take away allez se restaurer dans un endroit",fr
seg_00076,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Donc on n'a pas prévu de différences régionales aussi pour éviter les problèmes que ça poserait aux cantons en termes de concurrence problématique entre eux, lorsque les cantons avaient les choses dans les mains et qu'ils pouvaient décider d'ouvrir ou de fermer à chaque fois qu'ils fermaient quelque chose",fr
seg_00077,train,CH,2021-02-17,subnational level,blaming,"lorsque les cantons avaient les choses dans les mains et qu'ils pouvaient décider d'ouvrir ou de fermer à chaque fois qu'ils fermaient quelque chose et bien ça précipitait toute leur population dans les mêmes activités dans le canton d’à-côté et on a vu des exemples assez spectaculaires où dans le fond, l'épidémie évoluait, voyageait d'un canton à l'autre, si je peux le dire ainsi. Puis à la fin, montait partout, donc nous n'avons pas prévu ce type de choses pour l'instant.",fr
seg_00078,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,das noch vorbereiten vorher mit Vernehmlassung der Kantone,de
seg_00079,train,CH,2021-02-17,citizens,shifting responsibility,"es wird auch gesagt worden, wie hoch wissen wir es nicht, es ist aber matchentscheidend, dass die Bevölkerung weiterhin mitmacht, sehr engagiert, wie bis jetzt, damit es gut gehen kann.",de
seg_00080,train,CH,2021-02-17,,credit claiming,"Ich habe vorher gesagt es ist immer wieder eine Frage von abwägen gewesen für die Massnahmen die übrigens viel weniger stark oder weniger stark sind als den umliegenden Ländern sogar wenn man über ein Jahr vergleicht muss man das schon auch sehen und dann auch mit starken Unterstützung, die wir vorgesehen haben.",de
seg_00081,train,CH,2021-02-17,citizens,blaming,"einmal mehr für diejenigen, die es vergessen haben, was passiert ist in Italien letzten Jahres, wenn Portugal hat uns gerade vor 2-3 Wochen erinnert, wie es gehen kann und das wollen wir wirklich verhindern.",de
seg_00082,test,CH,2021-02-17,,credit claiming,"haben wir jetzt viel mehr Erfahrung, über wie man sich schützen kann, es funktioniert auch immer besser, würde ich mal sagen, und dazu kommt auch noch die Impfung",de
seg_00083,train,CH,2021-02-17,,credit claiming,"À ma connaissance, les choses se passent assez bien avec le traçage, on a maintenant l'ensemble des cantons, ça vous pouvez confirmer (montrant M. Mathys, OFSP), qui sont reliés aussi à la Datenbank donc on a une idée assez précise de ce qui se passe. C'est une bonne évolution. Cela dit, ça reste un travail extrêmement, extrêmement exigeant, mais avec le niveau de d'infection que nous avons aujourd'hui avec le taux de positivité aussi relativement bas, nous avons actuellement une assez bonne situation sur le plan du contrôle de la pandémie.",fr
seg_00084,test,CH,2021-02-17,subnational level,praising,"on a maintenant l'ensemble des cantons, ça vous pouvez confirmer (montrant M. Mathys, OFSP), qui sont reliés aussi à la Datenbank",fr
seg_00085,train,CH,2021-02-17,subnational level,shifting responsibility,"Bleibt jetzt eine Frage, der Präsident hat es gesagt, über die Altersheime, wir erwarten jetzt von sämtlichen Kantone Konzepte, um wirklich, dass diese Testung, Entwicklung bei der Altersheims sehr rasch und sehr stark zu entwickeln.",de
seg_00086,train,CH,2021-02-17,citizens,shifting responsibility,"on constate évidemment que les mesures qui ont été mises en place au fil du temps et dans la 2e partie et maintenant dans cette nouvelle année, ont moins d'effet sur la réduction de la mobilité que c'était le cas l'année dernière",fr
seg_00087,test,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Cette consultation, je le rappelle, est ouverte auprès des cantons.",fr
seg_00088,train,CH,2021-02-17,,credit claiming,"Ein Punkt, dass ich Ihnen die Lieferungen, das ist die Beschaffungspolitik, die wir seit jetzt einem Jahr wirklich vorbereitet haben und umgesetzt haben, und diese Beschaffungspolitik hat uns erlaubt, das ist auch bekannt, schon 2 Impfungen zugelassen und in der Umsetzung in der Schweiz zu haben, mit Mengen, die sich entwickeln, sehr rasch und sehr, sehr positiv in den nächsten Monaten, wenn alles gut geht",de
seg_00089,test,CH,2021-02-17,subnational level,explaining/sharing responsibility,"wir sind da in einem sehr engen Kontakt mit der Kantone, um das mal zu melden, wie es geht, damit die Kantone sich auch gut vorbereiten können für diese Umsetzung",de
seg_00090,test,CH,2021-02-17,,credit claiming,"ich glaube bis jetzt, es geht nicht so schlecht",de
seg_00091,train,CH,2021-02-17,citizens,shifting responsibility,"wo, es gibt auch eine Wille, eine Wille von der Bevölkerung, sich impfen zu lassen, es muss geimpft werden",de
seg_00092,train,CH,2021-02-17,citizens,praising,"weil die Bevölkerung sich wirklich gut an die Massnahmen hält. Das ist wirklich zu verdanken noch einmal. Wissen Sie, ich bekomme, wir bekommen alle sehr sehr viele Briefe, sehr viele Mails, sehr viele Kontakte, wir können nicht persönlich an alle mal eine Antwort bringen oder wir lesen, was kommt. Und 5 Minuten vor der Pressekonferenz. Ich war noch ein Mail bekommen von einer Frau von L‘Orient und sie schreibt am Ende: „et comme beaucoup d’autres, je continue de suivre les consignes à la lettre“. Das hilft, das ist wahrscheinlich Match entscheidend.",de
seg_00093,test,CH,2021-02-17,citizens,shifting responsibility,Chaque personne vaccinée en plus va nous aider,fr
seg_00094,train,CH,2021-02-17,citizens,shifting responsibility,"notamment aussi avec cet appel à la population à dire, nous prenons un certain risque aujourd'hui parce qu'on veut vivre, on veut pouvoir vivre, ouvrir, faire ces pas. Mais il faut vraiment que chacune, chacun se sente vraiment responsable de sa situation, fasse attention à bien se protéger et à être prudent.",fr
seg_00095,train,CH,2021-02-17,citizens,shifting responsibility,c'est aussi un élément qui doit nous rappeler que le comportement individuel et comment on se comporte reste très important.,fr
