record_id,split,country,conference_date,target,label,text,detected_language
seg_00031,test,CH,2021-01-27,,credit claiming,le Conseil fédéral a décidé ce matin que la Confédération prendrait désormais en charge le coût de ces tests.,fr
seg_00032,train,CH,2021-01-27,subnational level,shifting responsibility,"Les cantons pour pouvoir faire appel à cette possibilité, doivent évidemment présenter un concept à l’OFSP pour montrer où, quand et comment ils prévoient de faire ces tests.",fr
seg_00033,test,CH,2021-01-27,citizens,shifting responsibility,"il y a évidemment alors au-delà du 7e, au 10e jour, l'obligation de porter le masque vraiment au-delà des obligations habituelles, ça veut dire dès qu'on est hors de chez soi jusqu'à la fin de la quarantaine officielle de 10 jours et de respecter évidemment scrupuleusement les règles d'hygiène et de distance.",fr
seg_00034,train,CH,2021-01-27,subnational level,explaining/sharing responsibility,une demande des cantons et donc suite à l'inscription de cette possibilité dans la loi COVID en décembre dernier,fr
seg_00035,train,CH,2021-01-27,,credit claiming,"Dernier élément pour les pharmacies, nous avons décidé ce matin de prendre en charge les coûts de vaccination par les pharmacies.",fr
seg_00039,train,CH,2021-01-27,citizens,explaining/sharing responsibility,ou une volonté de le faire puisque la personne concernée doit payer le test elle-même.,fr
seg_00046,train,CH,2021-01-27,citizens,shifting responsibility,Et il ne s’agit encore une fois pas ici de prendre en charge la totalité de tous les tests qui pourraient être souhaitables sur le plan privé.,fr
seg_00047,train,CH,2021-01-27,citizens,shifting responsibility,Ça dépendra vraiment de la réalisation de ces tests,fr
seg_00055,train,CH,2021-01-27,subnational level,shifting responsibility,"Je ne veux pas faire d'analyse pour savoir pour quelle raison ça a été trop peu réalisé durant les 6 dernières semaines, c'est tout simplement un fait, on l'a trop peu utilisé et c'était je crois, à juste titre demandé aussi sur le plan fédéral, qu'on en fasse beaucoup plus pour tester. Et les gens, le personnel et les visiteurs, là où il y a des personnes qui ont des risques particuliers, qui vivent notamment par exemple dans les homes pour personnes âgées. Et maintenant avec cette situation, nous donnons la même possibilité à tous les cantons de définir un concept et d'agir pour avoir un meilleur suivi dans ce type de situation.",fr
seg_00057,train,CH,2021-01-27,,credit claiming,Et donc nous avons évidemment une stratégie pour la Suisse qui est adaptée à la réalité géographique et sociale du pays.,fr
seg_00059,train,CH,2021-01-27,subnational level,explaining/sharing responsibility,"Pour le reste c'est une demande des cantons cela et c'est pour faciliter en fait là où c'est nécessaire pour eux, la mise en œuvre de ces règles. En réalité, c'est une possibilité qu'ils avaient déjà obtenu dans le cadre du droit d'urgence, de la situation extraordinaire au printemps et les cantons à l'automne ont demandé que cette possibilité existe à nouveau. Elle a été pour cela réintroduite dans la loi COVID durant la session de décembre. Et donc nous pouvons aujourd'hui, à la demande des cantons, avec le soutien du Parlement dans le cadre de la loi COVID, réintroduire cette possibilité pour les autorités de poursuite.",fr
seg_00060,train,CH,2021-02-17,,credit claiming,je crois qu'on peut le voir les efforts qui ont été réalisés durant les dernières semaines et les derniers mois payent.,fr
seg_00061,train,CH,2021-02-17,citizens,praising,"J'ai déjà eu, nous avons déjà eu avec le Conseil fédéral l'occasion de le dire, la population dans son ensemble a été très respectueuse, très disciplinée pendant les phases un peu délicates des fêtes de fin d'année.",fr
seg_00062,train,CH,2021-02-17,,credit claiming,"Ça nous a permis de commencer l'année avec une situation qui n'était pas si mauvaise et l'évolution actuellement, elle est bonne. Nous avons eu en un mois maintenant une division par 2 du nombre de nouvelles infections. Nous avons également une détente sur le front des hospitalisations, des personnes, du nombre de personnes aux soins intensifs et en parallèle, Eh bien la vaccination des personnes vulnérables avance",fr
seg_00063,train,CH,2021-02-17,,credit claiming,"Dans l'ensemble, nous avons pris des mesures, elles sont connues, elles ont été dans l'essentiel ou pour l'essentiel moins contraignantes qu'à l'étranger. Malgré ça, nous avons une situation qui évolue de manière positive encore une fois parce que les consignes ont été bien respectées, sont bien respectées.",fr
seg_00064,test,CH,2021-02-17,citizens,praising,"parce que les consignes ont été bien respectées, sont bien respectées.",fr
seg_00065,train,CH,2021-02-17,citizens,shifting responsibility,"Il faut être clair à ce sujet en disant, nous souhaitons pouvoir réouvrir, mais pour que ça fonctionne, il faut évidemment que l'ensemble de la population continue à être attentive, à se protéger, à respecter les règles et les gestes qui nous protègent des infections. La situation reste fragile.",fr
seg_00066,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Nous avons donc envisagé, nous proposons maintenant dans une consultation qui doit être transmise encore aux cantons, de lever certaines mesures dès le 1er mars. Il y aura une décision définitive mercredi prochain. Je rappelle ici que cette consultation est une obligation fixée dans la loi sur les épidémies, donc c'est une évidence qu’il y a toujours une consultation avant de prendre des mesures.",fr
seg_00067,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Donc nous passons à un rythme tendanciellement de 4 semaines pour pouvoir voir quel est l'effet des mesures prises, quelle est la situation avant d'envisager le prochain pas en sachant qu'il faudra toujours également pour cela consulter les cantons",fr
seg_00068,test,CH,2021-02-17,,credit claiming,"Ça fait d'ailleurs une assez grosse différence avec le printemps 2020 dans lequel nous étions dans la situation extraordinaire et où théoriquement il n’y avait pas besoin de consulter les cantons, même si on l’a toujours fait.",fr
seg_00069,train,CH,2021-02-17,,credit claiming,"donc ça montre bien que nous sommes très attentifs à ce qui se passe dans le cadre intérieur, à l'intérieur des bâtiments, parce que nous savons que c'est là que les risques sont les plus importants et nous souhaitons avoir la stabilité pour permettre de le faire dans un 2e temps de manière à ne pas créer non plus trop d'incertitudes pour celles et ceux qui sont concernés.",fr
seg_00073,train,CH,2021-02-17,,credit claiming,"On a aussi retenu la leçon de l'année dernière, il y a eu beaucoup d'insistance pour réouvrir plutôt les restaurants, on l'a fait au début du mois de mai et moi je me souviens très très bien avoir eu énormément de retours de gens qui disaient: Écoutez comme ça on peut pas travailler. Vous nous demandez de travailler dans des conditions où on peut pas travailler et si aujourd'hui on disait aux restaurants, bon Ben utilisez votre terrasse et essayez de vous en sortir économiquement avec ça, c'est naturellement difficile.",fr
seg_00074,test,CH,2021-02-17,subnational level,shifting responsibility,"On a notamment dans les stations de ski cette problématique qui se pose, c'est contraire à l'ordonnance aujourd'hui c'est contraire au droit et donc nous allons rappeler encore une fois aux cantons que ça n'est pas aujourd'hui possible.",fr
seg_00075,train,CH,2021-02-17,,credit claiming,"On est le seul pays, je crois assez loin à la ronde qui a à la fois ouvert ses stations de ski, qui a laissé des hôtels ouverts et puis dans lequel on peut aussi en take away allez se restaurer dans un endroit",fr
seg_00076,train,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Donc on n'a pas prévu de différences régionales aussi pour éviter les problèmes que ça poserait aux cantons en termes de concurrence problématique entre eux, lorsque les cantons avaient les choses dans les mains et qu'ils pouvaient décider d'ouvrir ou de fermer à chaque fois qu'ils fermaient quelque chose",fr
seg_00077,train,CH,2021-02-17,subnational level,blaming,"lorsque les cantons avaient les choses dans les mains et qu'ils pouvaient décider d'ouvrir ou de fermer à chaque fois qu'ils fermaient quelque chose et bien ça précipitait toute leur population dans les mêmes activités dans le canton d’à-côté et on a vu des exemples assez spectaculaires où dans le fond, l'épidémie évoluait, voyageait d'un canton à l'autre, si je peux le dire ainsi. Puis à la fin, montait partout, donc nous n'avons pas prévu ce type de choses pour l'instant.",fr
seg_00083,train,CH,2021-02-17,,credit claiming,"À ma connaissance, les choses se passent assez bien avec le traçage, on a maintenant l'ensemble des cantons, ça vous pouvez confirmer (montrant M. Mathys, OFSP), qui sont reliés aussi à la Datenbank donc on a une idée assez précise de ce qui se passe. C'est une bonne évolution. Cela dit, ça reste un travail extrêmement, extrêmement exigeant, mais avec le niveau de d'infection que nous avons aujourd'hui avec le taux de positivité aussi relativement bas, nous avons actuellement une assez bonne situation sur le plan du contrôle de la pandémie.",fr
seg_00084,test,CH,2021-02-17,subnational level,praising,"on a maintenant l'ensemble des cantons, ça vous pouvez confirmer (montrant M. Mathys, OFSP), qui sont reliés aussi à la Datenbank",fr
seg_00086,train,CH,2021-02-17,citizens,shifting responsibility,"on constate évidemment que les mesures qui ont été mises en place au fil du temps et dans la 2e partie et maintenant dans cette nouvelle année, ont moins d'effet sur la réduction de la mobilité que c'était le cas l'année dernière",fr
seg_00087,test,CH,2021-02-17,subnational level,explaining/sharing responsibility,"Cette consultation, je le rappelle, est ouverte auprès des cantons.",fr
seg_00093,test,CH,2021-02-17,citizens,shifting responsibility,Chaque personne vaccinée en plus va nous aider,fr
seg_00094,train,CH,2021-02-17,citizens,shifting responsibility,"notamment aussi avec cet appel à la population à dire, nous prenons un certain risque aujourd'hui parce qu'on veut vivre, on veut pouvoir vivre, ouvrir, faire ces pas. Mais il faut vraiment que chacune, chacun se sente vraiment responsable de sa situation, fasse attention à bien se protéger et à être prudent.",fr
seg_00095,train,CH,2021-02-17,citizens,shifting responsibility,c'est aussi un élément qui doit nous rappeler que le comportement individuel et comment on se comporte reste très important.,fr
seg_00096,train,CH,2021-02-17,,credit claiming,"C'est une mesure très dure mais très efficace pour contrôler ou pour mieux maîtriser l'évolution de l'évolution de la pandémie. Ça, c'est le premier élément et le 2e élément, je crois qu’on s'est toujours adressé à la population de manière aussi transparente que possible. Aussi avec nos doutes, avec ce qu’on ne savait pas, on a toujours été clair et là aujourd'hui, on est très clair aussi",fr
seg_00097,test,CH,2021-02-17,citizens,shifting responsibility,"on veut faire ces pas, on prend un certain risque mais ça ne fonctionnera que si vraiment on est par ailleurs extrêmement strict avec le suivi de ces règles : la distance, le masque, se laver les mains, désinfecter les mains aussi souvent qu'on peut le faire pour éviter les transmissions du virus",fr
seg_00098,test,CH,2021-02-17,citizens,praising,"moi je crois que c'est assez bien respecté. Je dois vous dire, on n'a pas eu d'explosion sur les fêtes de Noël alors qu'on craignait et ça s'est passé dans d'autres pays.",fr
seg_00099,train,CH,2021-02-17,citizens,praising,Au contraire je trouve au contraire qu'on a une population qui dans le fond est très très disciplinée par rapport à tout ça.,fr
seg_00100,train,CH,2021-02-17,citizens,shifting responsibility,Et ce sera d'autant plus important durant les semaines qui arrivent.,fr
seg_00101,train,CH,2021-02-24,subnational level,explaining/sharing responsibility,il y a une consultation qui a eu lieu auprès des cantons et nous avons à la fin de cette consultation ce matin fait un bilan global de la situation bien sûr sur les propositions à la consultation,fr
seg_00102,test,CH,2021-02-24,,credit claiming,"La mortalité est également en baisse et la campagne de vaccination se déroule donc les perspectives sont bonnes, on va vers le mieux vraiment avec cette évolution",fr
seg_00116,train,CH,2021-02-24,,credit claiming,"Donc si ça fonctionne comme ça, on aura, je crois, réussi à sortir de cette situation dans de bonnes conditions.",fr
seg_00117,train,CH,2021-02-24,,credit claiming,"Et ça, je crois que c'est un pas important ou des pas importants qu'on a fait. On a essayé dans la mesure du possible de protéger un tout petit peu la situation des jeunes qui sont, qui souffrent quand même fortement de cette situation avec la durée maintenant que tout cela a pris.",fr
seg_00118,train,CH,2021-02-24,,credit claiming,"mais il ne faut pas oublier une chose, on va vers le mieux, on va vers le mieux, les perspectives s'améliorent.",fr
seg_00119,train,CH,2021-02-24,,credit claiming,"avec la vaccination aussi qui se développe, on va vers le mieux",fr
seg_00125,train,CH,2021-03-12,citizens,shifting responsibility,"Ce que nous voyons, c'est que la situation épidémiologique actuelle n'est malheureusement pas celle que nous souhaitions. Nous avons aujourd'hui des cas qui stagnent depuis quelques jours ou semaines, voire même qui augmentent maintenant, si on regarde du 9 au 11 mars, les nouvelles infections par jour étaient 20% plus élevées que la semaine précédente. C'est un jour de comparaison qui ui est valable et nous voyons dans ce cadre-là également que 3 valeurs cibles sur 4 sont déjà dépassées, notamment l'incidence à 14 jours qui est supérieure aujourd'hui à celle du premier mars. Le taux de positivité qui a augmenté le taux de reproduction qui est supérieur à un.",fr
seg_00126,test,CH,2021-03-12,citizens,shifting responsibility,"Cette vague sera plus forte si on multiplie les contacts suite aux ouvertures, elle sera moins forte si on est extrêmement prudent aussi dans les comportements individuels et là rappelle quelque chose que je dis depuis que nous disons avec le Conseil fédéral depuis longtemps, mais je vais répéter chaque mot 2 fois, parce que c'est important : distance, distance, masque, masque, hygiène des mains, hygiène des mains.",fr
seg_00127,test,CH,2021-03-12,,credit claiming,"Cela dit, parce que nous avons aussi une évolution de la stratégie depuis le début de l'année, il nous paraît possible aujourd'hui, avec ces mises en garde, en étant très attentif, de pouvoir envisager des ouvertures malgré cette situation très instable",fr
seg_00128,train,CH,2021-03-12,citizens,explaining/sharing responsibility,"il nous paraît possible aujourd'hui, avec ces mises en garde, en étant très attentif, de pouvoir envisager des ouvertures malgré cette situation très instable, pour autant qu'on soit extrêmement attentif dans nos comportements individuels et collectifs,",fr
seg_00129,test,CH,2021-03-12,subnational level,explaining/sharing responsibility,"ouvrir une consultation auprès des cantons sur la 2e étape d'assouplissement. Le Conseil fédéral, et c’est connu déjà depuis longtemps, rediscutera de cette situation le 19 mars pour prendre une décision définitive tenant compte de la situation épidémiologique, bien sûr de la consultation, en rappelant qu’il n’y a pas d'automatisme.",fr
seg_00130,train,CH,2021-03-12,subnational level,explaining/sharing responsibility,C'est une discussion qu'on mène avec les cantons avant de prendre une décision en fin de semaine prochaine,fr
seg_00131,train,CH,2021-03-12,citizens,shifting responsibility,"Et ce que nous souhaiterions dire à ce stade, c'est que quand on parle de responsabilité individuelle, que même si les activités sont ouvertes, on doit faire attention à ses contacts, un des éléments qui peut beaucoup nous aider pour l'ensemble de la société, c'est de déplacer à l'extérieur tout ce qui peut être déplacé à l'extérieur",fr
seg_00132,train,CH,2021-03-12,citizens,explaining/sharing responsibility,"tout ça, ce sont des adaptations de comportement dans la situation actuelle qui peuvent aussi aider à maîtriser la situation",fr
seg_00133,train,CH,2021-03-12,,credit claiming,"mais à partir du 15 mars donc dès lundi, tous les tests de personnes qui ont des symptômes seront pris en charge",fr
seg_00138,test,CH,2021-03-12,,credit claiming,"Nous avons dans ce sens-là pour le premier élément, mener des discussions très tôt déjà avec Pfizer et Moderna",fr
seg_00139,train,CH,2021-03-12,,credit claiming,"Et donc nous avons été bien sûr en contact avec Lonza. Nous avons été bien sûr aussi en contact avec Moderna. Et nous avons fait ce qu'il s'agit de faire en pareilles circonstances pour avoir accès à un vaccin, nous avons négocié enfin l’Office fédéral de la santé publique a négocié avec Moderna pour la réservation et l'achat de vaccins",fr
seg_00140,train,CH,2021-03-12,,credit claiming,"La bonne nouvelle aussi dans tout ça, c'est qu'évidemment nous avons avec ça, avec cette évolution, parié très tôt sur les vaccins ARN",fr
seg_00141,train,CH,2021-03-12,,credit claiming,on voit que nous avons une très bonne situation imposition avec ces vaccins ARN messager qui semblent être vraiment un élément absolument déterminant pour faire face à la pandémie.,fr
seg_00142,train,CH,2021-03-12,subnational level,explaining/sharing responsibility,Ça va dépendre de la consultation auprès des cantons.,fr
seg_00143,train,CH,2021-03-12,citizens,shifting responsibility,"C'est pour ça qu'il faut vraiment que tout le monde participe. C'est pour ça que j'ai, nous avons rappelé cet appel à respecter les mesures. Que les choses soient ouvertes ou qu'on puisse se rencontrer à 10 à la maison, ne veut pas dire qu'il faut forcément vraiment se rencontrer à 10 tous les soirs à la maison avec à chaque fois des gens différents, on n'est pas obligé de remplir cet objectif de 10, c’est une limite",fr
seg_00144,train,CH,2021-03-12,,credit claiming,on peut le faire parce que nous avons en même temps le fort développement des tests et nous avons aussi le développement de la vaccination,fr
seg_00145,train,CH,2021-03-12,,credit claiming,"les chiffres ne sont pas très bons. Ce n’est pas une catastrophe. Il faut être franc, on peut encore contrôler cette situation",fr
seg_00150,train,CH,2021-03-12,citizens,shifting responsibility,"Et à partir de là, il faut être prudent. C'est la première fois qu'on est confronté à une vague qui est faite du nouveau variant.",fr
seg_00153,train,CH,2021-03-12,,credit claiming,"Aujourd'hui, on a d'autres outils en masse, en suffisance avec les tests, c'est pour ça que ça se développe et bientôt vraiment aussi en masse et en suffisance avec la vaccination.",fr
seg_00154,train,CH,2021-03-12,citizens,shifting responsibility,"Et encore pour les tests, je veux dire l'appel vraiment à toutes celles et ceux qui le peuvent, qui le veulent de se faire tester régulièrement, ça nous aide. Mais ce qui va beaucoup aider, Eh bien, ce sont aussi les comportements individuels. Ce n’est pas parce qu'on dit aujourd'hui on retourne à la réouverture de certains éléments qu'il faut juste tout remplir tout le temps, c'est aussi lié à une forme dans le fond de responsabilité individuelle face à cette évolution collective qui reste assez difficile avec la pandémie.",fr
seg_00157,train,CH,2021-04-28,,credit claiming,la situation dans notre pays est actuellement assez stable,fr
seg_00158,train,CH,2021-04-28,citizens,shifting responsibility,"On n'est pas du tout hors de contrôle et ça va fonctionner, ça peut continuer de fonctionner si on continue d'avoir une grande attention aux gestes qui protègent et à continuer à être très prudent dans cette phase",fr
seg_00159,test,CH,2021-04-28,subnational level,explaining/sharing responsibility,"le 2e élément, c'est que les événements doivent être autorisés par le canton où ils se déroulent",fr
seg_00160,test,CH,2021-04-28,citizens,shifting responsibility,"on peut que encore une fois, comme l'a fait le président de la Confédération, encourager chacune, chacun à réfléchir à la vaccination, à se faire vacciner, c'est actuellement notre meilleur atout pour nous protéger, pour retrouver le chemin vers la normalité et pour aussi continuer à lever les mesures, ouvrir les mesures de protection et donc pour sortir de cette crise.",fr
seg_00162,train,CH,2021-04-28,subnational level,explaining/sharing responsibility,"Alors la première chose, c'est que le Président de la Confédération l'a dit, il faut une base légale pour que les cantons puissent également autoriser ces manifestations, parce qu'il faut qu'ils aient une base légale pour pouvoir offrir également un soutien.",fr
seg_00163,test,CH,2021-04-28,,credit claiming,"donc on leur amène avec cet outil, une sécurité de planification.",fr
seg_00167,train,CH,2021-04-28,,credit claiming,ça montre bien qu'on aura fait des pas absolument énormes.,fr
seg_00168,train,CH,2021-04-28,citizens,praising,ça montre bien qu'on aura fait des pas absolument énormes.,fr
seg_00170,train,CH,2021-04-28,subnational level,shifting responsibility,"Et là il s'agit de voir aussi dans les cantons qui vont faire ces essais pilotes, qu'est-ce qu'on peut apprendre de ces cas ? Est-ce que par exemple il est facile de tester beaucoup de monde à l'entrée ou pas ? Comment est-ce qu'on peut faire pour garantir que les personnes puissent faire la démonstration qu'elles ont été testées si c'est nécessaire, ce type de choses.",fr
seg_00171,train,CH,2021-04-28,subnational level,explaining/sharing responsibility,"donc dans la mesure où ces essais pilotes sont limités entre 300 et 600 personnes, alors on peut imaginer que dans certains cantons peut-être qu'il y en a aucun qui va être réalisé ou peut être un ou peut-être pas du tout et qu'on va demander au canton voisin quelles sont les expériences réalisées et que dans le canton de Zurich que vous mentionnez ou dans des grands cantons, eh bien les 3 soient utilisés, il s'agit vraiment de l'acquisition d'expériences et on parle de l'idée qu'avec 3 tests par canton, ça fait théoriquement quand même presque 80 sur l'ensemble du pays, on doit pouvoir accumuler assez d'expérience durant ce mois de juin pour voir comment vraiment le mettre en place pendant l'été",fr
seg_00172,train,CH,2021-05-12,,credit claiming,je crois qu'on peut dire aujourd’hui 12 mai 2021 qu'elle est assez encourageante. Vous avez vu encore aujourd'hui que les cas continuent de diminuer dans notre pays.,fr
seg_00173,train,CH,2021-05-12,,credit claiming,"Ce que le Conseil fédéral a fait avec la décision du 14 avril dernier qui était quand même un pas assez important, entré en vigueur le 19 avril, n'a pas conduit à une explosion de cas. Au contraire, on a pu avoir une poursuite de l'évolution assez favorable",fr
seg_00174,train,CH,2021-05-12,subnational level,praising,"Et dans l'intervalle, bientôt tous les cantons qui ouvrent la vaccination à toutes les personnes à partir de 16 ans.",fr
seg_00175,train,CH,2021-05-12,citizens,explaining/sharing responsibility,"Eh bien, elle a porté ses fruits aussi parce que nous avons cette évolution avec la vaccination et en même temps avec une population dans notre pays, nous le pensons qui respecte les gestes barrières, qui fait attention au port du masque, qui fait preuve d'une grande prudence dans cette évolution et cette prudence elle est d'autant plus importante maintenant parce que de nombreuses personnes dans notre pays sont en attente de la vaccination.",fr
seg_00176,train,CH,2021-05-12,citizens,shifting responsibility,ce n’est vraiment pas le moment de les mettre ou de se mettre en danger. Il faut pouvoir au contraire poursuivre avec la vaccination,fr
seg_00177,train,CH,2021-05-12,subnational level,explaining/sharing responsibility,"Et nous avons pu voir ce matin que ce modèle, ce plan en 3 phases est soutenu par les cantons et nous l'avons donc définitivement approuvé ce matin",fr
seg_00178,test,CH,2021-05-12,subnational level,explaining/sharing responsibility,"Et bien sûr, ça ouvre aussi la possibilité de nouveaux assouplissements et nous souhaitons maintenant avec un peu d'avance, nous souhaitons maintenant consulter les cantons, les partenaires sociaux, les commissions parlementaires vont certainement s'y intéresser aussi sur une prochaine étape d'assouplissement.",fr
seg_00179,test,CH,2021-05-12,citizens,shifting responsibility,"Pour autant, effectivement que la situation le permette et que nous continuons à avoir une évolution favorable avec l'ensemble de la population qui se tient aux règles fixées, qui respecte ces règles et puis avec une évolution qui est favorable, quelques éléments de détail peut être sur le paquet d'ouverture proposé.",fr
seg_00180,train,CH,2021-05-12,subnational level,shifting responsibility,"Dans la formation supérieure, on a la levée de la limite de 50 personnes en présentiel pour les universités par exemple, sous condition d'un concept de test et autorisation du canton.",fr
seg_00181,test,CH,2021-05-12,,credit claiming,mais actuellement on est dans la bonne direction,fr
seg_00182,train,CH,2021-05-12,subnational level,explaining/sharing responsibility,c'est une décision qui sera prise sur la base des éléments que nous aurons à disposition après la consultation,fr
seg_00183,train,CH,2021-05-12,citizens,shifting responsibility,"Très important, la liste des coordonnées des clients, les contacts et là on attend vraiment, on est en train de faire un pas important et nous avons vraiment besoin dans le fond de la collaboration de toutes et tous, toutes celles et ceux qui vont au restaurant au café doivent vraiment jouer le jeu parce qu'on sait qu'on a affaire là à un pas extrêmement important et non seulement celles et ceux qui vont au restaurant, mais aussi toutes celles et ceux qui tiennent des cafés ou des restaurants.",fr
seg_00184,train,CH,2021-05-12,citizens,shifting responsibility,"Mais c'est d'autant plus important de vraiment inciter de vraiment porter le masque à l'intérieur quand on n'est pas en train de consommer, y compris assis, parce que là, effectivement, nous savons que c'est une situation qui peut être délicate si on reste longtemps sans masque dans un cadre fermé.",fr
seg_00190,test,CH,2021-05-12,citizens,shifting responsibility,"La situation actuelle semble vraiment satisfaisante, mais il faudrait aussi voir que, en fonction de la mobilité des gens, en fonction aussi de la fin du home Office, ça a aussi des conséquences sur dans le fond, tout le fonctionnement des magasins nationalement",fr
seg_00206,train,CH,2021-05-12,citizens,shifting responsibility,"Et puis je vous rappelle que ces modifications qui devraient entrer en vigueur au mois de juin, en fait, à partir du 31 mai, interviennent à un moment où la population a vraiment un accès large à la vaccination.",fr
seg_00207,train,CH,2021-05-12,subnational level,praising,"Presque tous les cantons, je l'ai dit, ont ouvert la vaccination à partir de 16 ans.",fr
